date;time;;open;high;low;close
10.12.2020;3;10;1,20945;1,20974;1,20943;1,20974
10.12.2020;3;15;1,20973;1,20996;1,20971;1,20978
10.12.2020;3;20;1,20978;1,20978;1,20962;1,20962
10.12.2020;3;25;1,20961;1,20985;1,20959;1,20981
10.12.2020;3;30;1,20981;1,20981;1,2096;1,20963
10.12.2020;3;35;1,20963;1,20973;1,2096;1,20963
10.12.2020;3;40;1,20964;1,20977;1,20962;1,20966
10.12.2020;3;45;1,20968;1,20976;1,20964;1,20971
10.12.2020;3;50;1,2097;1,20987;1,20969;1,20987
10.12.2020;3;55;1,20987;1,21002;1,20981;1,20991
10.12.2020;4;0;1,20991;1,20991;1,20979;1,20984
10.12.2020;4;5;1,20983;1,20984;1,20966;1,20966
10.12.2020;4;10;1,20967;1,2097;1,2096;1,20965
10.12.2020;4;15;1,20966;1,20974;1,20961;1,20972
10.12.2020;4;20;1,20973;1,20975;1,20964;1,20966
10.12.2020;4;25;1,20966;1,20971;1,2096;1,20971
10.12.2020;4;30;1,20971;1,20971;1,2096;1,20963
10.12.2020;4;35;1,20964;1,20965;1,2095;1,20952
10.12.2020;4;40;1,20951;1,20958;1,20944;1,20958
10.12.2020;4;45;1,20959;1,20964;1,20952;1,20958
10.12.2020;4;50;1,20957;1,20959;1,2093;1,20932
10.12.2020;4;55;1,20932;1,20962;1,20929;1,2096
10.12.2020;5;0;1,20959;1,20963;1,20925;1,20925
10.12.2020;5;5;1,20924;1,20931;1,20917;1,2093
10.12.2020;5;10;1,20929;1,20929;1,20912;1,20922
10.12.2020;5;15;1,20922;1,20923;1,2091;1,20916
10.12.2020;5;20;1,20915;1,20926;1,20911;1,20922
10.12.2020;5;25;1,20921;1,20941;1,20921;1,20935
10.12.2020;5;30;1,20936;1,20936;1,20911;1,20917
10.12.2020;5;35;1,20918;1,2092;1,20904;1,20909
10.12.2020;5;40;1,2091;1,20912;1,2087;1,20871
10.12.2020;5;45;1,2087;1,20897;1,20866;1,20888
10.12.2020;5;50;1,20887;1,20899;1,20887;1,20894
10.12.2020;5;55;1,20893;1,20898;1,20877;1,20877
10.12.2020;6;0;1,20876;1,2089;1,20856;1,20885
10.12.2020;6;5;1,20886;1,2089;1,20871;1,20886
10.12.2020;6;10;1,20885;1,20944;1,20885;1,20934
10.12.2020;6;15;1,20934;1,20966;1,20922;1,20963
10.12.2020;6;20;1,20964;1,20971;1,20933;1,20962
10.12.2020;6;25;1,20963;1,20982;1,20931;1,20947
10.12.2020;6;30;1,20948;1,2096;1,20919;1,20958
10.12.2020;6;35;1,20958;1,20983;1,20949;1,2096
10.12.2020;6;40;1,20961;1,20964;1,2092;1,20928
10.12.2020;6;45;1,20927;1,20962;1,20926;1,20932
10.12.2020;6;50;1,20932;1,20936;1,20909;1,20914
10.12.2020;6;55;1,20914;1,20931;1,20891;1,20901
10.12.2020;7;0;1,20902;1,20908;1,20859;1,20875
10.12.2020;7;5;1,20875;1,20941;1,2086;1,20922
10.12.2020;7;10;1,20923;1,20959;1,20921;1,20942
10.12.2020;7;15;1,20943;1,20944;1,20896;1,20909
10.12.2020;7;20;1,20908;1,20931;1,20889;1,20931
10.12.2020;7;25;1,20931;1,2095;1,2092;1,20935
10.12.2020;7;30;1,20936;1,20993;1,20936;1,20983
10.12.2020;7;35;1,20981;1,20993;1,20937;1,20943
10.12.2020;7;40;1,20943;1,20947;1,20896;1,20914
10.12.2020;7;45;1,20914;1,2092;1,20882;1,20915
10.12.2020;7;50;1,20916;1,20942;1,20906;1,20908
10.12.2020;7;55;1,20908;1,20925;1,2089;1,20906
10.12.2020;8;0;1,20904;1,20905;1,20848;1,20863
10.12.2020;8;5;1,20863;1,20884;1,20836;1,20836
10.12.2020;8;10;1,20835;1,20872;1,20833;1,20868
10.12.2020;8;15;1,20867;1,20932;1,20859;1,20927
10.12.2020;8;20;1,20927;1,20954;1,20919;1,20933
10.12.2020;8;25;1,20932;1,21021;1,2093;1,20988
10.12.2020;8;30;1,2099;1,21042;1,2098;1,2102
10.12.2020;8;35;1,21022;1,21084;1,21022;1,21036
10.12.2020;8;40;1,21035;1,21065;1,2103;1,21061
10.12.2020;8;45;1,21062;1,21085;1,2105;1,21053
10.12.2020;8;50;1,21052;1,21083;1,21048;1,21051
10.12.2020;8;55;1,2105;1,21065;1,21026;1,21062
10.12.2020;9;0;1,21062;1,2107;1,21029;1,21068
10.12.2020;9;5;1,21068;1,21071;1,21034;1,21041
10.12.2020;9;10;1,21042;1,21085;1,21042;1,21081
10.12.2020;9;15;1,21082;1,21083;1,21045;1,21059
10.12.2020;9;20;1,21058;1,21067;1,21039;1,21051
10.12.2020;9;25;1,2105;1,21062;1,21029;1,2104
10.12.2020;9;30;1,21041;1,21068;1,21028;1,21028
10.12.2020;9;35;1,21028;1,21038;1,21006;1,21015
10.12.2020;9;40;1,21015;1,21018;1,20993;1,21
10.12.2020;9;45;1,21001;1,21017;1,2098;1,21017
10.12.2020;9;50;1,21017;1,21031;1,2099;1,20991
10.12.2020;9;55;1,20989;1,20998;1,20968;1,2097
10.12.2020;10;0;1,20969;1,2099;1,20951;1,20965
10.12.2020;10;5;1,20966;1,20977;1,20943;1,20961
10.12.2020;10;10;1,20964;1,20973;1,20943;1,20944
10.12.2020;10;15;1,20943;1,20967;1,2094;1,20948
10.12.2020;10;20;1,20947;1,20966;1,20936;1,20956
10.12.2020;10;25;1,20957;1,20957;1,2091;1,2091
10.12.2020;10;30;1,20909;1,20936;1,20902;1,20909
10.12.2020;10;35;1,20909;1,20912;1,20892;1,20897
10.12.2020;10;40;1,20895;1,20902;1,20874;1,20875
10.12.2020;10;45;1,20874;1,20905;1,20864;1,20864
10.12.2020;10;50;1,20866;1,20878;1,20849;1,20863
10.12.2020;10;55;1,20864;1,20916;1,2085;1,20895
10.12.2020;11;0;1,20896;1,20909;1,2086;1,20862
10.12.2020;11;5;1,20862;1,20867;1,20826;1,20826
10.12.2020;11;10;1,20826;1,20855;1,20812;1,20849
10.12.2020;11;15;1,20848;1,20861;1,20821;1,2083
10.12.2020;11;20;1,20831;1,2086;1,20811;1,20855
10.12.2020;11;25;1,20858;1,20864;1,20837;1,20844
10.12.2020;11;30;1,20843;1,20884;1,20817;1,20879
10.12.2020;11;35;1,20878;1,20904;1,20869;1,20902
10.12.2020;11;40;1,20902;1,20937;1,20897;1,20901
10.12.2020;11;45;1,20902;1,21182;1,20882;1,21137
10.12.2020;11;50;1,21136;1,21151;1,20991;1,21094
10.12.2020;11;55;1,21093;1,21181;1,21093;1,21111
10.12.2020;12;0;1,2111;1,21206;1,21106;1,21201
10.12.2020;12;5;1,212;1,21261;1,21167;1,21167
10.12.2020;12;10;1,21167;1,21198;1,21136;1,21146
10.12.2020;12;15;1,21144;1,21154;1,21072;1,21092
10.12.2020;12;20;1,2109;1,21093;1,21033;1,21042
10.12.2020;12;25;1,21042;1,21107;1,21037;1,21098
